oshpd_id,FacilityName2,CountyName,system,year,LICENSED_BED_SIZE,HospitalOwnership,UrbanRuralDesi,TEACHINGDesignation,Category,Tot_ED_NmbVsts,EDStations,EDDXCount,LATITUDE,LONGITUDE,PrimaryCareShortageArea,MentalHealthShortageArea,Visits_Per_Station
106301098,AHMC Anaheim Regional Medical Center,Orange,"AHMC Healthcare, Inc.",2022,200-299,Investor Owned,Urban,Teaching,Active COVID-19,23505,30,788,33.84725000,-117.93248000,No,Yes,26.26666667
106301140,Chapman Global Medical Center,Orange,"KPC Healthcare, Inc.",2022,100-149,Investor Owned,Urban,Non-Teaching,Active COVID-19,5063,8,143,33.78785000,-117.82586000,No,No,17.875
106301188,Anaheim Global Medical Center,Orange,"KPC Healthcare, Inc.",2022,150-199,Investor Owned,Urban,Non-Teaching,Active COVID-19,12153,11,241,33.82090000,-117.90921000,No,Yes,21.90909091
106301205,Hoag Memorial Hospital Presbyterian,Orange,Providence St. Joseph Health,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,102917,88,6530,33.62526000,-117.92949000,No,No,74.20454545
106301209,Huntington Beach Hospital,Orange,Prime Healthcare Services,2022,100-149,Investor Owned,Urban,Non-Teaching,Active COVID-19,12317,12,300,33.70442000,-117.98895000,No,No,25
106301234,La Palma Intercommunity Hospital,Orange,Prime Healthcare Services,2022,100-149,Investor Owned,Urban,Non-Teaching,Active COVID-19,12636,10,371,33.84755000,-118.03730000,No,No,37.1
106301248,Los Alamitos Medical Center,Orange,Tenet Healthcare Corporation,2022,150-199,Investor Owned,Urban,Non-Teaching,Active COVID-19,26727,23,1159,33.80327000,-118.06740000,No,No,50.39130435
106301258,South Coast Global Medical Center,Orange,"KPC Healthcare, Inc.",2022,150-199,Investor Owned,Urban,Non-Teaching,Active COVID-19,11411,10,162,33.71112000,-117.88539000,Yes,No,16.2
106301262,Providence Mission Hospital,Orange,Providence St. Joseph Health,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,35655,46,1944,33.56279000,-117.66768000,No,No,42.26086957
106301279,UC Irvine Medical Center,Orange,University of California,2022,300-499,Government,Urban,Teaching,Active COVID-19,42673,44,1846,33.78798850,-117.89013390,Yes,No,41.95454545
106301283,Garden Grove Hospital and Medical Center,Orange,Prime Healthcare Services,2022,150-199,Investor Owned,Urban,Non-Teaching,Active COVID-19,19807,12,488,33.77450890,-117.91303150,Yes,No,40.66666667
106301317,MemorialCare Saddleback Medical Center,Orange,MemorialCare,2022,200-299,Nonprofit,Urban,Non-Teaching,Active COVID-19,27453,31,1788,33.60802000,-117.70825000,No,No,57.67741935
